Locatie;categorie;X;Y;WS code;TOX code;jaar;maand;Fase 1;Fase 2;Fase 3;watervlo veld;bact;alg;watervlo;cytotox polair;cytotox apolair;ER;anti-AR;GR;anti-PR;antibio;PAK;PPARg;Nrf2;PXR;p53-;p53+;SRI 1.2;;;;;;;;;;
Vinkeveen, jachthaven;haven;125271;473880;GWV214;;2019;sept;0.47;;;0.40;0.07;0.00;0.01;0.06;0.00;0.09;0.15;0.00;0.26;0.01;0.08;0.77;0.27;1.81;0.00;0.00;0.47;;;;;;;;;;
Noorder Legmeerpolder;agrarisch;115423;474555;NLP041;NLP4a;2015;okt;0.44;;;0.25;0.02;0.00;0.02;;0.00;0.55;1.12;0.00;;0.01;0.16;0.00;0.62;0.94;0.00;0.00;0.44;;;;;;;;;;
Amstel Magere brug;riool;121946;486245;ADM075;AMB;2017;mei;0.44;;;0.51;0.02;0.00;0.01;0.18;0.00;0.39;0.60;0.00;;0.01;0.23;0.16;0.20;0.95;0.01;0.01;0.44;;;;;;;;;;
Hilv kanaal Kortenhoef;haven;138362;470383;PKH448;;2018;okt;0.44;;;4.50;0.00;0.00;0.00;0.18;0.00;0.82;1.62;0.02;0.14;0.05;0.04;0.00;0.11;1.66;0.00;0.00;0.44;;;;;;;;;;
Amstel Amstelveen;RWZI;122116;480623;AW;AMAb;2015;juli;0.44;;;0.00;0.02;0.02;0.17;;0.00;0.67;0.47;0.13;;0.21;;0.29;0.15;1.23;0.00;;0.44;;;;;;;;;;
Amstel Uithoorn;RWZI;117350;471965;AW;AMUa;2014;mei;0.42;;;0.00;0.00;0.00;0.07;;0.00;0.43;0.75;0.05;;0.83;;0.00;0.15;;0.40;;0.42;;;;;;;;;;
Noorder Legmeerpolder;agrarisch;115716;475203;NLP004;NLP3b;2013;sept;0.41;;;0.25;0.37;0.00;0.00;;;1.60;0.00;0.00;;0.00;;0.00;;;0.00;;0.41;;;;;;;;;;
Kortenhoef, bruggevaart;haven;133426;470227;PKH453;;2019;okt;0.40;;;1.00;0.03;0.00;0.00;0.18;0.00;0.15;0.15;0.00;0.20;0.00;0.08;0.30;0.18;0.54;0.00;0.04;0.40;;;;;;;;;;
Botshol;referentie;123497;472980;BOT319;BOT;2015;dec;0.40;;;0.25;0.06;0.00;0.00;;0.00;0.02;0.54;0.00;;0.00;0.19;0.53;0.58;1.00;0.00;0.00;0.40;;;;;;;;;;
Lekkanaal;referentie;136190;448809;DW;LEKb;2016;mei;0.39;;;1.00;0.01;0.00;0.00;0.00;0.00;0.42;0.55;0.00;;0.17;0.13;0.00;0.37;0.03;0.00;0.00;0.39;;;;;;;;;;
Grote Maarsseveense plas;stad&div;133947;461911;PMW006;;2019;sept;0.39;;;0.55;0.01;0.00;0.01;0.06;0.00;0.18;0.12;0.00;0.11;0.00;0.00;0.00;0.11;1.98;0.00;0.00;0.39;;;;;;;;;;
Amstel Ronde Venen;RWZI;118773;473258;AW;AMRb;2015;juli;0.37;;;0.00;0.03;0.00;0.10;;0.00;0.36;0.26;0.10;;0.26;;0.20;0.47;1.28;0.00;;0.37;;;;;;;;;;
Vecht Utrecht;stad&div;133279;459952;VEC011;VEU;2012;juli;0.36;;;0.00;0.06;0.03;0.31;;;0.35;0.67;0.04;;0.10;0.94;0.34;;;0.00;;0.36;;;;;;;;;;
Amstel Ronde Venen;RWZI;118633;472979;AW;AMRa;2014;mei;0.35;;;0.00;0.00;0.02;0.07;;0.01;0.38;0.69;0.02;;0.13;;0.00;0.29;;0.36;;0.35;;;;;;;;;;
Loosdrechte plassen;stad&div;132688;464670;KRW-sp;LOP;2011;aug;0.35;;;;0.02;0.04;0.02;;0.00;0.00;1.31;0.00;;0.00;0.15;0.60;;;0.10;;0.35;;;;;;;;;;
