fewsid;code;naam;b_datum;e_datum;aquo;aquoid;WNA.oeverplantensoorten;datum;geslacht;author;beschermingsstatus.florafaunawet;WNA.habitatvoorkeur.vis;taxoncode;TWN.taxongroup;WNA.fytoplankton.groep;parentname;levensvorm;WNA.migratiegilde.vis;WNA.zuurstoftolerante.vis;WNA.kroossoorten;WNA.emerse.plantensoorten;check_2;TWN.taxonlevel;WNA.toxische.blauwalg;check1;WNA.reynolds.groep.cyanobacterieen;WNA.nederlandse.soortnaam;status;WNA.plantminnendheid.vis;WNA.fytoplankton.subgroep;refername;alleendrogeoever;WNA.onderwaterplantensoorten;WNA.soorten.met.drijvend.blad;WNA.stromingsgilde.vis;TWN.taxontype
2543;Calidris ferruginea;Calidris ferruginea;1-1-1981;;;;;25-11-2008;Calidris;(Pontoppidan, 1763);;;CALIFERR;;;Calidris;;;;;;;Species;;;;Krombekstrandloper;10;;;;;;;;VOGLS
2544;Calidris fuscicollis;Calidris fuscicollis;1-1-1981;;;;;25-11-2008;Calidris;(Vieillot, 1819);;;CALIFUSC;;;Calidris;;;;;;;Species;;;;Bonapartes Strandloper;10;;;;;;;;VOGLS
2545;Calidris maritima;Calidris maritima;1-1-1981;;;;;25-11-2008;Calidris;(Brünnich, 1764);;;CALIMARI;;;Calidris;;;;;;;Species;;;;Paarse Strandloper;10;;;;;;;;VOGLS
2546;Calidris melanotos;Calidris melanotos;1-1-1981;;;;;25-11-2008;Calidris;(Vieillot, 1819);;;CALIMELA;;;Calidris;;;;;;;Species;;;;Gestreepte Strandloper;10;;;;;;;;VOGLS
2547;Calidris minuta;Calidris minuta;1-1-1981;;;;;25-11-2008;Calidris;(Leisler, 1812);;;CALIMINU;;;Calidris;;;;;;;Species;;;;Kleine Strandloper;10;;;;;;;;VOGLS
2548;Calidris pusilla;Calidris pusilla;1-1-1981;;;;;25-11-2008;Calidris;(Linnaeus, 1758);;;CALIPUSI;;;Calidris;;;;;;;Species;;;;Grijze Strandloper;10;;;;;;;;VOGLS
2549;Calidris ruficollis;Calidris ruficollis;1-1-1981;;;;;25-11-2008;Calidris;(Pallas, 1776);;;CALIRUFI;;;Calidris;;;;;;;Species;;;;Roodkeelstrandloper;10;;;;;;;;VOGLS
2550;Calidris temminckii;Calidris temminckii;1-1-1981;;;;;25-11-2008;Calidris;(Leisler, 1812);;;CALITEMM;;;Calidris;;;;;;;Species;;;;Temmincks Strandloper;10;;;;;;;;VOGLS
2551;Calidris tenuirostris;Calidris tenuirostris;1-1-1981;;;;;25-11-2008;Calidris;(Horsfield, 1821);;;CALITENU;;;Calidris;;;;;;;Species;;;;Grote Kanoet;10;;;;;;;;VOGLS
2552;Calla;Calla;1-1-1981;;;;1;25-11-2008;Calla;C. Linnaeus 1753;;;CALL;ANGIO;;Araceae;;;;0;1;;Genus;;;;;10;;;;0;0;0;;MACFT
2553;Calla palustris;Calla palustris;1-1-1981;;;;1;25-11-2008;Calla;C. Linnaeus 1753;;;CALLPALU;ANGIO;;Calla;;;;0;1;;Species;;;;Slangenwortel;10;;;;0;0;0;;MACFT
2554;Calliacantha;Calliacantha;1-1-1981;;;;;26-6-2013;Calliacantha;B.S.C. Leadbeater, 1978;;;CACA;MISCE;Overige;Stephanoecidae;;;;;;;Genus;0;;;;10;;Overig;;;;;;FYTPT
2555;Calliacantha longicaudata;Calliacantha longicaudata;1-1-1981;;;;;16-2-2011;Calliacantha;(B.S.C. Leadbeater, 1975) B.S.C. Leadbeater, 1978*;;;CACALONG;MISCE;Overige;Calliacantha;;;;;;;Species;0;;;;10;;Overig;;;;;;FYTPT
2556;Callianassa;Callianassa;1-1-1981;;;;;25-11-2008;Callianassa;Leach, 1814;;;CALN;CRDEC;;Callianassidae;;;;;;;Genus;;;;;10;;;;;;;;MACEV
2557;Callianassa subterranea;Callianassa subterranea;1-1-1981;;;;;25-11-2008;Callianassa;(Montagu, 1808);;;CALNSUBT;CRDEC;;Callianassa;;;;;;;Species;;;;;10;;;;;;;;MACEV
