GeoObject.code;HoortBijGeoobject.identificatie;GHPR;gebied;Gbdafk;Doel;bronddoel;HandelingsperspectiefWBP;Doel_2022;brondoel_2022;Doel_2022_v2;brondoel_2022_v2
;NL11_6480-EAG-2;Overige waterflora-kwaliteit;6480-EAG-2;HGPN;0.4958;handelingsperspectief_score2006-2014;0.2;0.432;10% beste 2006-2019;0.45;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6480-EAG-3;Overige waterflora-kwaliteit;6480-EAG-3;HGPO;0.633545455;handelingsperspectief_score2006-2014;0.2;0.5946;10% beste 2006-2019;0.6;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6490-EAG-1;Overige waterflora-kwaliteit;6490-EAG-1;AVPWDriemond;0.6;Default GEP;;0.6;Default GEP;;
;NL11_6530-EAG-1;Overige waterflora-kwaliteit;6530-EAG-1;BlmdPGMsPO,bemal;0.6;handelingsperspectief_score2015-2017;;0.6576;10% beste 2006-2019;0.58;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6530-EAG-2;Overige waterflora-kwaliteit;6530-EAG-2;BGmsO,LgsVecht;0.6;handelingsperspectief_score2015-2017;;0.4838;10% beste 2006-2019;0.58;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019 + 0.05ekr bonus
;NL11_6540-EAG-1;Overige waterflora-kwaliteit;6540-EAG-1;AVPO,bemal;0.765775186;handelingsperspectief_score2006-2014;0.155;0.746;10% beste 2006-2019;0.62;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6540-EAG-2;Overige waterflora-kwaliteit;6540-EAG-2;AVPO,blokbemaling;0.814083333;handelingsperspectief_score2006-2014;0.155;0.7398;10% beste 2006-2019;0.66;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6540-EAG-3;Overige waterflora-kwaliteit;6540-EAG-3;AVPO,stdlijkWsp;0.521805556;handelingsperspectief_score2006-2014;0.155;0.6076;10% beste 2006-2019;0.44;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6550-EAG-1;Overige waterflora-kwaliteit;6550-EAG-1;PNijrode,lndGbd;0.449612903;handelingsperspectief_score2006-2014;0.04;0.5692;10% beste 2006-2019;0.52;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6550-EAG-2;Overige waterflora-kwaliteit;6550-EAG-2;PNijrode,Kstsportveld;0.4465;handelingsperspectief_score2006-2014;0.04;0.568;10% beste 2006-2019;0.41;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_6550-EAG-3;Overige waterflora-kwaliteit;6550-EAG-3;PNijrode,Stdlk;;;0.04;0.6;Default GEP;;
;NL11_6570-EAG-1;Overige waterflora-kwaliteit;6570-EAG-1;PBroeckland;0.6;Default GEP;;0.6;Default GEP;;
;NL11_6590-EAG-1;Overige waterflora-kwaliteit;6590-EAG-1;;0.6;Default GEP;;0.6;Default GEP;;
;NL11_7010-EAG-1;Overige waterflora-kwaliteit;7010-EAG-1;GZK;0.51683375;handelingsperspectief_score2006-2014;0.075;0.6161;10% beste 2006-2019;0.53;huidige toestand + gemiddelde 90p-50p tussen 2006 en 2019
;NL11_7010-EAG-2;Overige waterflora-kwaliteit;7010-EAG-2;BlaricummerMnt;;;0.075;0.6;Default GEP;;
