fewsparameter;Var.2;1000-EAG-1;1000-EAG-2;1000-EAG-3;1000-EAG-4;1010-EAG-1;1060-EAG-1;2000-EAG-1;2000-EAG-2;2000-EAG-3;2000-EAG-4;2000-EAG-5;2000-EAG-6;2000-EAG-7;2010-EAG-1;2010-EAG-2;2020-EAG-1;2030-EAG-1;2040-EAG-1;2100-EAG-1;2110-EAG-1;2110-EAG-2;2110-EAG-3;2110-EAG-4;2110-EAG-5;2120-EAG-1;2120-EAG-2;2120-EAG-3;2130-EAG-1;2140-EAG-1;2140-EAG-3;2140-EAG-4;2140-EAG-6;2150-EAG-3;2160-EAG-1;2200-EAG-1;2210-EAG-1;2220-EAG-1;2220-EAG-2;2220-EAG-3;2230-EAG-1;2230-EAG-2;2240-EAG-1;2250-EAG-1;2250-EAG-2;2250-EAG-3;2250-EAG-4;2250-EAG-5;2250-EAG-7;2270-EAG-1;2280-EAG-1;2290-EAG-1;2300-EAG-1;2310-EAG-1;2330-EAG-1;2340-EAG-1;2350-EAG-1;2380-EAG-1;2400-EAG-1;2400-EAG-2;2400-EAG-3;2400-EAG-4;2400-EAG-5;2410-EAG-1;2500-EAG-1;2500-EAG-2;2500-EAG-3;2500-EAG-4;2500-EAG-5;2500-EAG-6;2501-EAG-1;2501-EAG-2;2502-EAG-1;2503-EAG-1;2504-EAG-1;2505-EAG-1;2506-EAG-1;2510-EAG-1;2510-EAG-2;2510-EAG-3;2511-EAG-1;2512-EAG-1;2520-EAG-1;2520-EAG-4;2530-EAG-1;2530-EAG-2;2540-EAG-1;2540-EAG-2;2540-EAG-3;2540-EAG-4;2550-EAG-1;2550-EAG-2;2550-EAG-4;2550-EAG-5;2560-EAG-1;2560-EAG-2;2570-EAG-1;2570-EAG-2;2600-EAG-1;2600-EAG-2;2600-EAG-4;2600-EAG-6;2600-EAG-9;2610-EAG-1;2620-EAG-1;2630-EAG-1;2630-EAG-3;3000-EAG-1;3020-EAG-1;3040-EAG-1;3050-EAG-1;3070-EAG-1;3070-EAG-2;3100-EAG-1;3100-EAG-10;3100-EAG-2;3100-EAG-3;3100-EAG-4;3100-EAG-5;3100-EAG-9;3110-EAG-1;3110-EAG-2;3110-EAG-3;3110-EAG-4;3110-EAG-5;3200-EAG-1;3200-EAG-2;3201-EAG-1;3201-EAG-2;3201-EAG-3;3210-EAG-1;3210-EAG-2;3210-EAG-3;3220-EAG-2;3220-EAG-3;3230-EAG-1;3230-EAG-2;3230-EAG-3;3230-EAG-4;3230-EAG-5;3230-EAG-6;3240-EAG-1;3250-EAG-1;3260-EAG-1;3300-EAG-1;3300-EAG-10;3300-EAG-11;3300-EAG-12;3300-EAG-3;3300-EAG-4;3300-EAG-5;3300-EAG-6;3300-EAG-7;3300-EAG-8;3300-EAG-9;3301-EAG-1;3302-EAG-1;3302-EAG-2;3310-EAG-2;3311-EAG-1;3311-EAG-2;3311-EAG-3;3311-EAG-7;3320-EAG-1;3320-EAG-2;3320-EAG-3;3320-EAG-4;3340-EAG-1;3340-EAG-2;3340-EAG-3;3350-EAG-1;3360-EAG-1;3360-EAG-10;3360-EAG-11;3360-EAG-12;3360-EAG-13;3360-EAG-14;3360-EAG-15;3360-EAG-16;3360-EAG-17;3360-EAG-18;3360-EAG-2;3360-EAG-3;3360-EAG-4;3360-EAG-5;3360-EAG-9;3370-EAG-1;3370-EAG-2;3370-EAG-3;3370-EAG-4;3370-EAG-5;4000-EAG-1;4000-EAG-2;4000-EAG-3;4000-EAG-4;4000-EAG-6;4000-EAG-7;4000-EAG-8;4100-EAG-1;4110-EAG-1;4110-EAG-2;4120-EAG-1;4120-EAG-2;4130-EAG-1;4140-EAG-1;4140-EAG-2;4140-EAG-3;4140-EAG-4;4200-EAG-2;4200-EAG-3;4210-EAG-1;4210-EAG-2;4210-EAG-3;4210-EAG-4;4210-EAG-5;4230-EAG-1;4240-EAG-1;4250-EAG-1;5000-EAG-1;6000-EAG-1;6040-EAG-1;6050-EAG-1;6060-EAG-1;6080-EAG-1;6100-EAG-1;6100-EAG-2;6110-EAG-1;6400-EAG-1;6400-EAG-2;6420-EAG-1;6430-EAG-1;6440-EAG-1;6450-EAG-1;6460-EAG-1;6460-EAG-2;6480-EAG-1;6480-EAG-2;6490-EAG-1;6500-EAG-1;6510-EAG-1;6530-EAG-1;6530-EAG-2;6540-EAG-1;6540-EAG-2;6540-EAG-3;6550-EAG-1;6570-EAG-1;7000-EAG-1;7010-EAG-1;7010-EAG-2;7020-EAG-1;7040-EAG-1;7050-EAG-1;7060-EAG-1;7100-EAG-1;7100-EAG-2;8000-EAG-1;8010-EAG-1;8010-EAG-2;8020-EAG-1;8030-EAG-1;8030-EAG-2;8030-EAG-3;8030-EAG-5;8040-EAG-1;8050-EAG-2;8050-EAG-3;8060-EAG-1;8070-EAG-1;8070-EAG-2;8080-EAG-2;8090-EAG-1;8090-EAG-2;9010-EAG-1;9020-EAG-1;9030-EAG-1;9040-EAG-1
EXT380;3.74880952380952;4.68409090909091;;;;5.75833333333333;6.54166666666667;4.25740740740741;6.1037037037037;2.19583333333333;4.61363636363636;7.63253968253968;8.61055555555556;6.4;6.025;5.2;7.10833333333333;7.28333333333333;5.63333333333333;4.74333333333333;7.43333333333333;6.51666666666667;10.8166666666667;13.5333333333333;;9.11666666666667;;4.125;4.325;7.41666666666667;7.5;10.5875;;4.7875;3.76666666666667;13.4833333333333;4.975;2.7984188034188;;;;8.29166666666667;16.8333333333333;1.80486111111111;;6.925;8.08402777777778;9.65833333333333;;11.85;3.07916666666667;11.275;9.8375;12.0625;9.16944444444444;4.8;7.68333333333333;8;18;;;50.6666666666667;48.94125;9.725;6.97467320261438;7.32083333333333;4.45;2.58333333333333;2.215;11.4189393939394;;10.7916666666667;9.5175;9.13333333333333;14.6666666666667;8.225;;13.0673076923077;21.7333333333333;13.5583333333333;10.4583333333333;9.66666666666667;9.7;;12.0916666666667;8;7.70833333333333;19.9166666666667;11.3666666666667;9.64166666666667;3.4125;4.51388888888889;6.55833333333333;16.4;11.2907407407407;17.4111111111111;10.05;;10.3125;;;;33.0166666666667;8.4375;10.375;20.3166666666667;;1.97834541062802;5.34583333333333;7.7;4.73333333333333;5.80833333333333;5.375;3.08666666666667;8.44444444444444;2.63333333333333;7.18333333333333;5.125;5.21666666666667;;7.06333333333333;8.05;11.7625;8.88333333333333;7.41190476190476;1.885;16.025;3.30416666666667;3.925;4.77777777777778;14.7833333333333;30;17;3.61666666666667;4.01111111111111;7.45972222222222;1.39375;3.18333333333333;;5.89166666666667;2.49444444444444;4.78333333333333;;4.85833333333333;2.34404761904762;9.96797385620915;6.38;12.2722222222222;2.53333333333333;2.56944444444444;3.87222222222222;4.33888888888889;4.61666666666667;3.26388888888889;6.36333333333333;4.1375;8.42222222222222;6.46518518518519;1.525;4.875;;;;4.85;3.11666666666667;6.23333333333333;1.4625;10.5625;22;16.15;9.225;8.8;1.63277777777778;1.684375;4.81666666666667;5.21388888888889;4.89166666666667;13.4444444444444;5.19227272727273;6.22667887667888;;3.05;6.39166666666667;2.29166666666667;;1.225;5.59166666666667;;;;;6.84722222222222;3.47777777777778;6.45277777777778;5.89814814814815;2.92222222222222;3.88333333333333;4.55;11.0916666666667;12.9416666666667;11;9.56666666666667;9;10.1416666666667;;;;;13.425;;5.14166666666667;4.04166666666667;3.88333333333333;6.90185185185185;4.68333333333333;7.71666666666667;3.16041666666667;4.36666666666667;6.6625;;6.68333333333333;3.1;5.8375;9.36666666666667;1.90857142857143;2.5;5.8875;5.24166666666667;5.53333333333333;11.5166666666667;7.0112962962963;3.30833333333333;5.9125;5.3375;;7.26666666666667;;12.6125;4.25;3.175;5.675;;7.525;;3.5125;3.37;3.075;;6.485;2.65555555555556;2.99166666666667;;1.6125;;2.45277777777778;3.49166666666667;4.08333333333333;4.4;;6.20833333333333;;7.05595238095238;5.3;10.4666666666667;10.5916666666667;;4.4;4.175;2.35265700483092;4.47126984126984;6.4625;4.35;5.95833333333333;5.43333333333333;3.88333333333333;4.71666666666667;5.35
EXT440;1.3297619047619;1.51401515151515;;;;1.78333333333333;1.975;1.40888888888889;2.02592592592593;0.775;1.52474747474747;2.5031746031746;2.82555555555556;2.15416666666667;1.9;1.81666666666667;2.25833333333333;2.20833333333333;1.68333333333333;1.56777777777778;2.3875;2.25833333333333;3.6;4.4;;2.91666666666667;;1.425;1.3375;2.45;2.325;3.4;;1.4875;1.18333333333333;4.48333333333333;1.625;0.817948717948718;;;;2.76;5.79166666666667;0.56875;;2.33333333333333;2.59444444444444;3.3;;3.875;0.983333333333333;3.61666666666667;3.1375;4.175;2.99166666666667;1.71666666666667;2.50833333333333;2.6;6.15;;;17.75;18.47625;3.1375;2.31187363834423;2.54583333333333;1.375;0.75;0.666666666666667;3.70631313131313;;3.575;3.2425;3.01666666666667;4.66666666666667;2.72916666666667;;4.63846153846154;8.64166666666667;4.34791666666667;3.34166666666667;3.175;3.1;;3.73333333333333;2.65;2.55833333333333;6.72083333333333;3.98333333333333;3.30833333333333;1.05416666666667;1.48055555555556;2.255;5.8;3.74;6.26;3.30833333333333;;3.2625;;;;11.3710317460317;2.625;3.2625;6.81666666666667;;0.701207729468599;1.76666666666667;2.5;1.59166666666667;1.975;1.80833333333333;1.01666666666667;2.88333333333333;0.958333333333333;2.71333333333333;1.675;1.70833333333333;;2.4;2.65833333333333;4.09166666666667;3.43333333333333;2.4547619047619;0.653333333333333;5.13333333333333;1.1875;1.35833333333333;1.61666666666667;5.01666666666667;10.55;5.6;1.30833333333333;1.41666666666667;2.65694444444444;0.4875;1.04166666666667;;2.05;0.843055555555556;1.80833333333333;;1.61666666666667;0.801984126984127;3.44673202614379;2.12;4.15;0.883333333333333;0.886111111111111;1.30277777777778;1.50833333333333;1.56111111111111;1.12222222222222;2.24333333333333;1.425;2.90694444444444;2.26851851851852;0.4;1.7;;;;1.49375;1.07083333333333;1.9625;0.4625;3.54166666666667;7.65;5.53333333333333;3.09166666666667;2.8;0.582222222222222;0.559375;1.61666666666667;1.98611111111111;1.74166666666667;4.66388888888889;1.75681818181818;2.13870573870574;;1.04166666666667;2.13333333333333;0.733333333333333;;0.35;1.93333333333333;;;;;2.25277777777778;1.26111111111111;2.175;2.0037037037037;1;1.35;1.53888888888889;4.06666666666667;4.64166666666667;4.1;3.36666666666667;3;3.30833333333333;;;;;4.25;;1.69166666666667;1.39166666666667;1.31666666666667;2.39537037037037;1.58333333333333;2.59166666666667;1.06041666666667;1.39166666666667;2.78333333333333;;2.31666666666667;1;2.5;3.96666666666667;0.676190476190476;0.908333333333333;1.9125;1.60416666666667;1.74166666666667;4.26666666666667;2.39074074074074;1.175;2;1.775;;2.40833333333333;;4.7375;1.475;1.1;1.89375;;2.40833333333333;;1.15;1.235;1.275;;2.08722222222222;0.916666666666667;0.997222222222222;;0.5375;;0.833333333333333;1.26666666666667;1.3;1.3;;2.00833333333333;;2.22857142857143;1.6;3.38333333333333;3.45;;1.3;1.36666666666667;0.717391304347826;1.43142857142857;2.06666666666667;1.38333333333333;1.975;1.78333333333333;1.25;1.6;1.75
EYBRP;1.73333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EYPRTON;7.06916666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FE;;0.4;;;;;;;0.63;;0.39;0.92;0.37;;;;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;1.3;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.9;;;;;;;;;;;;1.1;;;;;;;;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FE-1;;0.06;;;;;;;0.14;;0.1;0.18;0.11;;;;;;;;;;;;;;;;;;;;;0.06;;;;;;;;;0.59;;;;;;;;;;;;;;;;0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;0.2;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;0.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.155;;;;;;;;;;;;;;;
Fe-2;0.62;0.490833333333333;;;;;;;0.888518518518518;0.617083333333333;0.818518518518519;1.43351851851852;0.981805555555556;0.897222222222222;;;;;;0.851666666666667;;;;;;2.83611111111111;;;0.930833333333333;;;;;1.26333333333333;0.758333333333333;;0.903333333333333;0.258402777777778;;;;;;0.159166666666667;;;;;;;;;;;;;;;;;;;;;;0.333958333333333;;;0.0771296296296296;;;;;5.02222222222222;;;;;;;;;2.00555555555556;;;0.35;3.29166666666667;1.76333333333333;2.08333333333333;3.50833333333333;0.105277777777778;0.108333333333333;0.175740740740741;0.586666666666667;1.21788888888889;2.134;;;1.96666666666667;;;;8.7175;;;;;0.486746031746032;;;;;;;0.72;0.13;0.31;;0.11;;;;;;;0.160416666666667;;;;;;;;5.49388888888889;3.23888888888889;0.603333333333333;0.106296296296296;;;;0.478333333333333;0.603888888888889;;;;;;;;0.126666666666667;;;0.431666666666667;;;;1.32055555555556;1.21427015250545;;4.48333333333333;;;;;;;;;;;;;0.161388888888889;0.397222222222222;0.923888888888889;0.212777777777778;0.255833333333333;1.47555555555556;0.217045454545455;2.32531746031746;;;1.08833333333333;;;;0.768888888888889;;;;;0.726666666666667;;0.625;0.690833333333333;0.106666666666667;0.252777777777778;0.139166666666667;;;;;;;;;;;;;;0.0811111111111111;;;;;;;;;;;;;0.37037037037037;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.872777777777778;;;;;1.925;;0.722222222222222;;;0.77;0.739444444444444;0.0796888888888889;0.38625;;;;;;;
FEN;;0.00495833333333333;;;;;;;;;;;0.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENCIP;2.06416666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENFOS;6.88416666666667;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENRN;7.2175;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENTON;0.233333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FENTTON;0.569166666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FEO;15.7615740740741;11.7448830409357;23.6666666666667;8.14583333333333;2.20833333333333;10;19.6666666666667;14.0027777777778;17.4537037037037;7.06398809523809;12.3125;18.1858619416759;29.3305555555556;16.1342592592593;7.95833333333333;8.59722222222222;8.83333333333333;46.0555555555556;14.4027777777778;27.3263888888889;31.3402777777778;13.7291666666667;32.0833333333333;52.8333333333333;;57.7222222222222;47;13.25;36.5;23.6458333333333;35.8571428571429;27.1875;29.125;60.9166666666667;;38.625;42.8333333333333;3.00760582010582;19;;7;15.5763888888889;47.7222222222222;1.82175925925926;32;26.75;45.2037037037037;27.6666666666667;46;35;9.25694444444444;38.0138888888889;16.375;18.4097222222222;14.4027777777778;6;18.0138888888889;9.5;40.1666666666667;66.8333333333333;6.875;35.1875;30.5694444444444;23.5;15.9253968253968;18.3935185185185;1.98611111111111;1.51388888888889;1.77951388888889;67.4932461873638;9.66666666666667;14.5625;14.2395833333333;13.0277777777778;25.7222222222222;19.9744008714597;14.375;17.4652777777778;14.8125;25.7222222222222;19.5;14.625;20.4953703703704;20;21.9444444444444;11.875;16.8805555555556;65.1666666666667;26.6666666666667;3.0625;5.6875;8.83333333333333;7.45833333333333;17.0208333333333;12.217803030303;15.9458333333333;15.5416666666667;38;45.1666666666667;29;7.58333333333333;25.6666666666667;58.2097222222222;26.8333333333333;26.3333333333333;22.2569444444444;12.1666666666667;8.32118055555556;6.29464285714286;7.83333333333333;2.1375;15.3472222222222;12.4166666666667;4.4375;8.91666666666667;5.88888888888889;11.9097222222222;5.02777777777778;18.5416666666667;10.6527777777778;18.1053921568627;11.84375;22.7118055555556;17.6805555555556;9.68518518518519;2.49603174603175;7.45833333333333;2.38888888888889;6.70833333333333;9.80555555555556;28.5972222222222;41.5;24;2.5;2.875;13.8842592592593;1.88333333333333;10.8166666666667;22.5833333333333;13.2222222222222;12.6053240740741;9.45833333333333;1.25;10.9166666666667;9.48703703703704;12.7003968253968;17.8125;10.4907407407407;9.36111111111111;9.79861111111111;10.4305555555556;8.76388888888889;10.1458333333333;8.61111111111111;14.6527777777778;18.9166666666667;6.89930555555556;7.92510893246187;1.25;6.27777777777778;6;13;8;15.84375;10.6111111111111;18.65625;3.77083333333333;19.6342592592593;23.9166666666667;22;27.1018518518519;19.3333333333333;5.25694444444444;1.76111111111111;15.3888888888889;13.5694444444444;17.7708333333333;16.0763888888889;9.13162878787879;4.72939250225836;8;25.2708333333333;23.9166666666667;2.20833333333333;1.25;3.02083333333333;10.0416666666667;9;5.125;4.625;7;14.7847222222222;8.38888888888889;12.7291666666667;12.5416666666667;8.97222222222222;19.8888888888889;12.3333333333333;11.6805555555556;14.6805555555556;35;11.625;11;10.8611111111111;8.66666666666667;1.875;1.25;4.91666666666667;5.22222222222222;8;19.1111111111111;12.6111111111111;17.0555555555556;5.41666666666667;17.0138888888889;12.0694444444444;15.6296296296296;15.7777777777778;12.9861111111111;1.25;36;15.7083333333333;8.52083333333333;16.875;3.86805555555556;12.6041666666667;17.2291666666667;17.9861111111111;38.9444444444444;18.0416666666667;11.7386363636364;8.02083333333333;11.0833333333333;11.8541666666667;33.4166666666667;17.8055555555556;33.375;21.2083333333333;4.95833333333333;2.20833333333333;10.3875;13.9583333333333;11.6076388888889;4.66666666666667;10.9027777777778;11.0381944444444;7.1875;5.95833333333333;14.3680555555556;5.97222222222222;3.77083333333333;7.5;17;3.77083333333333;5.47916666666667;7.61111111111111;16.9861111111111;9;;15.0277777777778;68;20.4305555555556;34;15.9444444444444;57.2222222222222;;10;27.1666666666667;2.76639426957224;18.7915079365079;16.0625;47.6111111111111;16.125;8.91666666666667;39.5;8.54166666666667;12.625
FFDON;6.24083333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIPNL;3.20083333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLAXL;8.23333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLOXPR;0.8675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLU;;0.0201666666666667;;;;;;;;;;;0.0344166666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0582083333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fluacprm;7.38416666666667;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLUFNCT;7.55083333333333;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
